Empresa,Modalidade de apoio
Scheme Lab Propriedade Industrial S/S Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Libera Tecnologia e Inovação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Hidroflex Indústria e Participações Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Seip7 Indústria e Comércio de Máquinas Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mark Spekken Engenharia,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
CL Empreendimentos Biológicos Ltda. - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Naked Monkey Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mupi Tecnologia e Serviços de Informação Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cis Biomoléculas Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alk Agrícola Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Newsun Energy Brazil S/A,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dynamine Consultoria em Engenharia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Circuitar Eletrônicos, Importação e Exportação Ltda. - ME",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Soraya El Khatib - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inova Serviços de Digitalização e Preparação de Documentos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Atrium Assessoria Florestal Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Keme Desenvolvimento e Comércio de Instrumentos Científicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
F W Grillo - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
In Situ Terapia Celular Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bio Insumos e Diagnósticos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acacio Gonçalves Netto,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
R4F Tecnologia em Telecomunicações Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Rheabiotec Desenvolvimento, Produção e Comercialização de Produtos de Biotecnologia Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
BIOO Artificial Intelligence em Tecnologia da Informação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reciclapac Soluções para Embalagens Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lume Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Procoding Tecnologia para Rastreabilidade Industrial Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Plantem Tecnologia em Plantas e Monitoramento Ambiental Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"CarbonUP Consultoria, Pesquisa e Desenvolvimento de Materiais Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Calil & Icimoto Madeiras Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Spinnano Semicondutores Indústria e Comércio Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mvisia Desenvolvimentos Inovadores Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fabio Nakashima e Outro,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Souza P&D Farmacêutico Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agromic Pesquisas e Desenvolvimento Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Geodez Consultoria em Cerâmica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acquest Geologia e Geofísica Subaquática Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Doppia M Projetos Socioculturais e Serviços Administrativos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Faz Verde Soluções Ambientais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Licia Carla da Silva Costa,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mesosilica Consultoria Química Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Spin Consultoria Cervejeira Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inanocare Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Celso Tomazin Junior,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Onion Tecnologia Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
SOLPE - Soluções em Ciências e Engenharia de Petróleo Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Iti Inovação em Tecnologia da Informação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
TIH - Tecnologias de Interação Humana Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terra Azul Tecnologia de Polímeros Naturais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
BRTech Soluções Tecnológicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
BTZ Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
ACRM Inovações Tecnológicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Time Energy Indústria e Comércio Eireli - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecotec Soluções em Automação Sustentável Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
TEC3GEO - Geotecnologias Inovativas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dynamine Consultoria em Engenharia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Wisersoft Tecnologia em Sistemas Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ravenna Indústria e Comércio de Cosméticos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Benfitbox Soluções Tecnológicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acen Microeletrônica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Piaram Produtos Nanotecnológicos, Assessoria, Pesquisa e Desenvolvimento de Produtos e Processos Químicos Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cyberphysics Company Tecnologia em Atividade Física Ltda. - Me,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Time Energy Indústria e Comércio Eireli - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Zuggi Tecnologia e Comércio Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sysport Sistemas Aeroportuários Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
BCS Tecnologia e Serviços Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Koppert do Brasil Holding Ltda (Koppert),Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Selsan Tecnologia Industrial e Comercial Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Technognoscis Serviços de Engenharia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecomol Consultoria e Projetos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rainer Grassmann,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Green Compounds Ativos Naturais Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dorileo Soluções em Visão Computacional Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acta Visio Desenvolvimento em Visão Computacional Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
DMN Justino Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dados & Cenários Consultoria Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Victor Vision Indústria, Comércio, Importação e Exportação de Equipamentos Médicos Odontológicos Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioptamers Pesquisa e Desenvolvimento Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
SG Soluções Científicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Subiter Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Aureliano Agostinho Dias Meirelles,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fluxofarma Pesquisa e Desenvolvimento Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dungtech Biofertilizantes Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Essentii Pesquisa, Desenvolvimento e Inovação Ltda. - ME",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
NCB Sistemas Embarcados Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tambora Engenharia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Abili Assessoria Técnica, Comercial e Tecnologia da Informação Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Jetquímica Indústria e Comércio Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Comptest Engenharia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Oseas de Paula Ribeiro - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genobiomas Biotecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Developnow Projetos de Software e Eletrônica Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Elabora Biosolutions Bioengenharia Bioprocessos e Inovação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mobwise Consultoria em Engenharia e Softwares Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eletroquímica São Carlos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alex Julio Trinca,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Florilegus Comércio e Serviços Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Surface - Engenharia e Soluções a Plasma Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
DPR Engenharia Assessoria e Consultoria em Projetos da Área Petrolífera Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Skinzymes Biotecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mmtech Projetos Tecnológicos Importação e Exportação Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Revolugenix Biotecnologia, Pesquisa e Desenvolvimento Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
DMA Indústria e Tecnologia Eireli - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
PMEC Sistemas - Serviços de Inovação Tecnológica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brascopter Projetos e Serviços Aeronáuticos e Mecânicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Soluções em Biotecnologia 3D - Elaboração de Projetos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Deltalys Biotechnology Produtos Farmacêuticos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Geplant Tecnologia Florestal Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paulo Daniel Leite Pesquisa e Desenvolvimento,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecomol Consultoria e Projetos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecomol Consultoria e Projetos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Scheme Lab Propriedade Industrial S/S Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Tergos Pesquisa e Ensino Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
INVITRA - Tecnologia da Reprodução Assistida Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Marzieh Kadivar,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Santa Martha Jardins Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Manoel Soares Neto Automação Industrial - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
TEC3GEO - Geotecnologias Inovativas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Medidores Meier & Giacaglia Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Singularity Extraction Technologies Serviços Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biotechno Science Farmacêutica,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lablift Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Immunodot Indústria e Pesquisa de Produtos para Diagnóstico Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
IAssist Desenvolvimento de Programas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Donaire Consultoria Empresarial Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
More Focus Tecnologia da Informação Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Centro de Serviços e Materiais Cerâmicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Isabelle Leite Bayona Perez,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fabio Neves dos Santos,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Probes Inovação e Desenvolvimento Tecnológico Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Addvance Soluções em Informática Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Veritas Biotecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Donaire Consultoria Empresarial Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Carlstrom Engenharia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dod Robos Investidores Eireli - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
ANS Pharma Consultoria Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
TV On Demand Consultoria e Soluções S/S Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Partecurae Pesquisa e Desenvolvimento Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Algaetech Pesquisa Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Donaire Consultoria Empresarial Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Versor Inovação Tecnológica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eikonal do Brasil Instrumentos Ópticos e Científicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioprocess Improvement Consultoria e Pesquisas em Bioprocessos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Flex IC Indústria Microeletrônica Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Empreende Plano de Negócio Treinamentos Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Nano Separation Technologies Indústria, Comércio e Representações Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Valora Consultoria em Gestão Empresarial Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cor Sync Desenvolvimento de Sistemas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reactormodel Tecnologia Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanophoton Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Labmass Laboratory  Laboratório de Análise Química, Consultoria e Treinamento Ltda. - ME",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
SOLPE - Soluções em Ciências e Engenharia de Petróleo Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
SW2 Soluções em TI Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dipsie Engenharia e Software S/A,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clarice Inteligência Artificial Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Imunotera Soluções Terapêuticas Ltda. - EPP,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Essado de Morais Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cis Biomoléculas Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Área Química Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Opusphere Desenvolvimento, Consultoria em Tecnologia da Informação e Gestão de Processos Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Opusphere Desenvolvimento, Consultoria em Tecnologia da Informação e Gestão de Processos Ltda",Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Reload Health Devices Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fisioatual Comércio Atacadista e Equipamentos Médicos Hospitalares Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dspgeo Serviços em Engenharia Aplicada à Geofísica e Petróleo Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Matriz Brasileira de Risco Agro Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nanomed Nanotecnologia em Saúde e Bem-Estar Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
R M T Tage Biaggio Eireli,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
NFM Chemical Tecnology Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
EPL Empresa Produtora de Inovações Tecnológicas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
SOLPE - Soluções em Ciências e Engenharia de Petróleo Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
3TCOM Serviços em Redes de Telecomunicações Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paula Speranza Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Invent Biotecnologia Ltda. - ME,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Scipopulis Desenvolvimento e Análise de Dados Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sensetech Instrumentação e Sistemas Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pullup Soluções Sistemas Eletrônicos Ltda,Bolsas no Brasil - Pesquisa Inovativa em Pequenas Empresas - PIPE
